x1,x2,xdot1,xdot2
-1.2,-0.8,-0.8,1.8880000000000001
-1.219456578021636,-0.7526133080128145,-0.7526133080128145,1.893178101164091
-1.2377240674129788,-0.7051178651265282,-0.7051178651265282,1.8966751733869085
-1.2548002737927906,-0.657555965277903,-0.657555965277903,1.8984830018538346
-1.2706840640893422,-0.6099699953445439,-0.6099699953445439,1.8985966599077355
-1.2853753662193044,-0.562402408897307,-0.562402408897307,1.8970145370846399
-1.2988751685074116,-0.514895687784596,-0.514895687784596,1.893738353072741
-1.3111855314247254,-0.46749225962773905,-0.46749225962773905,1.8887731608021028
-1.3223095788343555,-0.4202343856187768,-0.4202343856187768,1.882127296099162
-1.3322514820824176,-0.37316401788126763,-0.37316401788126763,1.873812293325211
-1.3410164593088412,-0.32632279401181985,-0.32632279401181985,1.863842885142195
-1.3486107681102788,-0.2797519611555015,-0.2797519611555015,1.8522369494606288
-1.3550417082967197,-0.2334923174771668,-0.2334923174771668,1.8390154732800417
-1.3603175830212761,-0.18758405039259157,-0.18758405039259157,1.8242023935529412
-1.3644476888993042,-0.1420666936600428,-0.1420666936600428,1.8078245348778563
-1.3674423101202011,-0.09697910241715958,-0.09697910241715958,1.7899115556301555
-1.3693127029260712,-0.05235936592826898,-0.05235936592826898,1.7704958415691463
-1.370071061600565,-0.008244712173205743,-0.008244712173205743,1.7496123604542275
-1.3697304966115995,0.03532854782124222,0.03532854782124222,1.7272985493705502
-1.3683050222066473,0.07832505720435969,0.07832505720435969,1.703594220363654
-1.3658095332694977,0.12071047650908596,0.12071047650908596,1.6785414312489235
-1.3622597584890626,0.16245156875036962,0.16245156875036962,1.6521843040336135
-1.3576722463725666,0.2035162227188897,0.2035162227188897,1.624568920727188
-1.3520643487591435,0.24387348945436954,0.24387348945436954,1.595743204669056
-1.3454541724271525,0.2834936494286427,0.2834936494286427,1.5657567337331577
-1.3378605418148253,0.32234825842813397,0.32234825842813397,1.53466057846977
-1.329302978916259,0.3604101654413741,0.3604101654413741,1.5025071781466999
-1.3198016957532062,0.39765352872306936,0.39765352872306936,1.4693502346142793
-1.3093775198898894,0.4340538760993129,0.4340538760993129,1.4352444797588326
-1.2980518572211426,0.4695881332889517,0.4695881332889517,1.4002455153837183
-1.285846680880427,0.5042346268307953,0.5042346268307953,1.3644097048112713
-1.2727845026956845,0.5379730927986534,0.5379730927986534,1.3277940343568182
-1.2588883452147326,0.5707846928430768,0.5707846928430768,1.2904559719366917
-1.244181647905914,0.6026520436505887,0.6026520436505887,1.2524532206777947
-1.2286882614517496,0.6335592185607871,0.6335592185607871,1.2138436209372205
-1.212432427348778,0.6634917417786154,0.6634917417786154,1.1746850346368405
-1.1954387512607398,0.6924365752165699,0.6924365752165699,1.1350352252556224
-1.1777321641572434,0.7203821248725849,0.7203821248725849,1.0949517118190517
-1.159337828266336,0.7473182289647506,0.7473182289647506,1.0544915537938215
-1.1402811343860955,0.7732361574110613,0.7732361574110613,1.013711268767933
-1.1205876890383082,0.7981286014222145,0.7981286014222145,0.9726667420920443
-1.1002832737338408,0.8219896280132112,0.8219896280132112,0.931413116218927
-1.0793938343695022,0.8448146878865485,0.8448146878865485,0.8900047003612072
-1.0579453727028458,0.8666005591517822,0.8666005591517822,0.8484947754516274
-1.035963937767347,0.8873453417838548,0.8873453417838548,0.8069355229463052
-1.0134756232533946,0.9070484542267768,0.9070484542267768,0.7653779639257775
-0.9905065234486424,0.9257105621786527,0.9257105621786527,0.7238718769581792
-0.9670827419199163,0.9433335856868361,0.9433335856868361,0.6824657550203669
-0.9432302917109229,0.9599206175553322,0.9599206175553322,0.6412066595734713
-0.918975068703723,0.975475895037324,0.975475895037324,0.6001401565648635
-0.8943428516187321,0.9900047998351729,0.9900047998351729,0.5593102789494507
-0.8693592782907072,1.0035138060862143,1.0035138060862143,0.518759486197628
-0.8440498367807368,1.0160104349311372,1.0160104349311372,0.47852864470908585
-0.8184398146182355,1.0275032127085468,1.0275032127085468,0.43865695429442836
-0.7925542444820516,1.0380015911142102,1.0380015911142102,0.3991818950142496
-0.7664179040474408,1.0475159469317556,1.0475159469317556,0.36013921131045745
-0.7400553086857268,1.0560575605738765,1.0560575605738765,0.3215629003815738
-0.713490692152359,1.0636385278404141,1.0636385278404141,0.2834852217897625
-0.6867479945582944,1.070271759766774,1.070271759766774,0.24593667628087526
-0.6598507984462232,1.0759708660861516,1.0759708660861516,0.20894598064517106
-0.6328223243870085,1.0807501452835653,1.0807501452835653,0.17254007059374107
-0.6056854298568369,1.0846245801755487,1.0846245801755487,0.13674410775723483
-0.5784625947855558,1.087609751338087,1.087609751338087,0.10158151382972001
-0.5511759249215923,1.0897218384504739,1.0897218384504739,0.0670739857389899
-0.5238471002825836,1.090977511364116,1.090977511364116,0.03324150149541987
-0.49649736344646367,1.091393896169674,1.091393896169674,0.00010234174348459912
-0.46914751955146283,1.0909885751970625,1.0909885751970625,-0.03232688902681037
-0.44181793145370574,1.0897795361581342,1.0897795361581342,-0.06403121971455505
-0.4145285242935738,1.0877851340340143,1.0877851340340143,-0.09499726323283178
-0.38729875821208054,1.0850240380601435,1.0850240380601435,-0.12521319519546725
-0.360147610200382,1.0815151608931617,1.0815151608931617,-0.1546687100195896
-0.3330935740867286,1.0772776585373889,1.0772776585373889,-0.1833549893623916
-0.3061546604568539,1.0723309123432543,1.0723309123432543,-0.21126466049088294
-0.27934840381114645,1.0666944665039197,1.0666944665039197,-0.23839172329844635
-0.2526918530912404,1.0603880201410993,1.0603880201410993,-0.26473152245557224
-0.22620155529736857,1.053431339163299,1.053431339163299,-0.29028068556049125
-0.19989355490614247,1.0458442502981566,1.0458442502981566,-0.31503708358433286
-0.1737833942219707,1.0376466376709237,1.0376466376709237,-0.33899979099202937
-0.14788612404053672,1.0288583909340288,1.0288583909340288,-0.3621690102897311
-0.12221630440596412,1.019499404852992,1.019499404852992,-0.3845460330080016
-0.0967879953735959,1.0095895073530248,1.0095895073530248,-0.40613317509322866
-0.0716147569998731,0.9991484410717107,0.9991484410717107,-0.4269337288519521
-0.04670964934557664,0.9881958633463516,0.9881958633463516,-0.4469519240592018
-0.022085242494305126,0.9767513196768794,0.9767513196768794,-0.46619286575692814
0.0022463735813830904,0.9648342294515155,0.9648342294515155,-0.4846624790682874
0.026273593820399357,0.9524638490069272,0.9524638490069272,-0.5023674579774151
0.04998529404763746,0.9396592418185734,0.9396592418185734,-0.5193152090327184
0.07337083097397254,0.9264392785007063,0.9264392785007063,-0.5355138144567635
0.09642003479143008,0.912822626499064,0.912822626499064,-0.550971983419126
0.11912319293595627,0.898827733829191,0.898827733829191,-0.5656989928315004
0.14147105281005604,0.8844728110872708,0.8844728110872708,-0.5797046465970543
0.16345481303983675,0.8697758048707955,0.8697758048707955,-0.5929992202940569
0.18506612329610606,0.8547543974262853,0.8547543974262853,-0.6055934280108788
0.20629707534854044,0.8394259958798046,0.8394259958798046,-0.6174983766289704
0.2271401920279054,0.8238077360072998,0.8238077360072998,-0.6287255266646606
0.24758842340004855,0.8079164742388717,0.8079164742388717,-0.6392866550391401
0.267635129299827,0.7917687549538054,0.7917687549538054,-0.6491937942896626
0.28727407911257397,0.7753808101266482,0.7753808101266482,-0.6584592048699026
0.30649945177409954,0.7587685593272077,0.7587685593272077,-0.6670953486501386
0.3253058336001432,0.7419476092284043,0.7419476092284043,-0.6751148611394886
0.3436881822034338,0.7249332508704578,0.7249332508704578,-0.6825304943214026
0.3616418452492566,0.707740468437392,0.707740468437392,-0.6893551146208952
0.3791625362307081,0.6903839206050233,0.6903839206050233,-0.6956016507570392
0.39624632334800425,0.6728779362916636,0.6728779362916636,-0.7012830617404737
0.41288962950848246,0.6552365146581185,0.6552365146581185,-0.7064123176064113
0.42908923232660034,0.6374733251076884,0.6374733251076884,-0.7110023810207183
0.4448422602563526,0.6196017085639696,0.6196017085639696,-0.7150661872363413
0.46014615384468693,0.6016346945760829,0.6016346945760829,-0.7186166045531167
0.4749986902254151,0.583584994188307,0.583584994188307,-0.7216664361763966
0.4893979539802067,0.5654649992623811,0.5654649992623811,-0.7242283821393948
0.5033423282516802,0.5472867844221592,0.5472867844221592,-0.7263150205807953
0.5168304947434019,0.5290621070536109,0.5290621070536109,-0.7279387962108655
0.529861433719888,0.5108024073048198,0.5108024073048198,-0.7291120095835589
0.5424344157943414,0.49251881385233387,0.49251881385233387,-0.7298468036328786
0.5545489737708481,0.47422216910426584,0.47422216910426584,-0.7301551454609209
0.5662049229343113,0.45592301308397876,0.45592301308397876,-0.7300488265252908
0.5774023288700203,0.43763159722830114,0.43763159722830114,-0.7295394376072663
0.5881415043116043,0.4193578862217301,0.4193578862217301,-0.7286383616036859
0.5984230091410315,0.4011115579964319,0.4011115579964319,-0.7273567685653661
0.6082476503886092,0.38290200373224315,0.38290200373224315,-0.725705611414078
0.6176164665857211,0.36473834382651105,0.36473834382651105,-0.7236956185394103
0.6265307203176377,0.3466294433050953,0.3466294433050953,-0.7213372932698378
0.634991900365961,0.328583901817525,0.328583901817525,-0.7186409085686485
0.6430016977492254,0.31061007104336025,0.31061007104336025,-0.7156164966092282
0.6505620055838518,0.29271605481297963,0.29271605481297963,-0.712273848368485
0.6576749190841478,0.2749097091075785,0.2749097091075785,-0.708622513799469
0.6643427347644913,0.257198642955448,0.257198642955448,-0.7046718023953427
0.6705679302813005,0.23959024596755882,0.23959024596755882,-0.7004307834407304
0.6763531765352935,0.22209168137630472,0.22209168137630472,-0.6959082933415695
0.6817013182653728,0.2047098959006265,0.2047098959006265,-0.6911129287507366
0.6866153641142914,0.187451628889173,0.187451628889173,-0.6860530469113176
0.6910984866286518,0.17032341232030074,0.17032341232030074,-0.6807367691447197
0.6951540222589069,0.15333157080207524,0.15333157080207524,-0.6751719847273971
0.6987854676302178,0.136482226699013,0.136482226699013,-0.6693663550254879
0.7019964667637151,0.11978132623923199,0.11978132623923199,-0.6633273220135831
0.7047908216696965,0.10323462476051593,0.10323462476051593,-0.6570621135879853
0.7071724692333031,0.08684770474186101,0.08684770474186101,-0.6505777413559282
0.7091454787217608,0.07062597847323641,0.07062597847323641,-0.6438810059600759
0.71071405178438,0.05457468805558388,0.05457468805558388,-0.6369785031314179
0.7118825224525559,0.03869890540081761,0.03869890540081761,-0.6298766299982819
0.712655349667177,0.023003544731390293,0.023003544731390293,-0.622581592551023
0.713037118519391,0.007493373170597898,0.007493373170597898,-0.6150994186274028
0.7130325353866352,-0.007826994726159657,-0.007826994726159657,-0.6074359587195768
0.7126464135419336,-0.02295308395264957,-0.02295308395264957,-0.5995968894187726
0.7118836731098932,-0.03788055899824694,-0.03788055899824694,-0.5915877208026831
0.7107493410667051,-0.052605223847933716,-0.052605223847933716,-0.5834138039773871
0.7092485501234568,-0.06712302043812532,-0.06712302043812532,-0.575080338733949
0.7073865325128382,-0.08143001234737851,-0.08143001234737851,-0.5665923850630415
0.7051686274109261,-0.09552239144799099,-0.09552239144799099,-0.5579548730700087
0.7026002632247369,-0.10939646919865462,-0.10939646919865462,-0.5491726026487156
0.6996869544278231,-0.12304867379395565,-0.12304867379395565,-0.5402502506915489
0.6964343015602733,-0.13647555016437418,-0.13647555016437418,-0.5311923792001371
0.6928479912287115,-0.14967375997628532,-0.14967375997628532,-0.5220034434506367
0.6889337891704249,-0.16264007451021048,-0.16264007451021048,-0.5126877987431757
0.6846975514424539,-0.17537137166072062,-0.17537137166072062,-0.5032497182218353
0.6801452159240763,-0.18786463718737656,-0.18786463718737656,-0.4936933943815063
0.6752827873910229,-0.2001169581242151,-0.2001169581242151,-0.4840229397395975
0.670116337512192,-0.21212552277770402,-0.21212552277770402,-0.47424239496318926
0.6646520048496496,-0.22388762072674173,-0.22388762072674173,-0.464355736976147
