dictionary_name,noise_sigma,rmse,mae,epsilon_q95,open_loop_stable,open_loop_ultimate_radius,notes,max_residual_norm,mean_residual_norm,median_residual_norm,q90_residual_norm,q95_residual_norm,q99_residual_norm,mild_ultimate_radius,medium_ultimate_radius,aggressive_ultimate_radius,best_closed_loop_radius
linear,0.0,0.10488768465521432,0.030747294015391294,0.30090982059074517,True,0.15425902392844582,,1.6662963281237546,0.046057370393040475,0.0018061377125950257,0.09587599947830393,0.30090982059074517,0.6715896185358089,0.1380688179647118,0.1250187566456143,0.11306858083373256,0.11306858083373256
linear,0.01,0.10489520603044364,0.030735794173600516,0.30034139521710773,True,0.15403399013931648,,1.667985947708699,0.04602721904047235,0.0018016814578479404,0.09517302665923431,0.30034139521710773,0.6626840965798363,0.13785608503098262,0.12478777477877527,0.1128026215513274,0.1128026215513274
linear,0.03,0.10533382374882906,0.030927029908337764,0.29340778701596626,True,0.15221710793635754,,1.698762233661127,0.046272419524682654,0.00186755194123473,0.09950301105381992,0.29340778701596626,0.6582398467413783,0.1354549225218362,0.12252051409773532,0.11050897656117796,0.11050897656117796
linear,0.05,0.10787518426416386,0.0316348288957625,0.29023604864343844,True,0.15215657232801258,,1.7274352919969729,0.047601067301954916,0.0019015581087660255,0.10934911536840404,0.29023604864343844,0.7012649192566518,0.13520814392626726,0.12204914004931601,0.10951765889865159,0.10951765889865159
linear_with_constant,0.0,0.10267453236096723,0.04123342311407227,0.2811158793100002,True,0.1291965259885363,,1.6109157893903083,0.06563695503388096,0.030905732557227235,0.08330583234879856,0.2811158793100002,0.6487852435835755,0.10890689502507118,0.10279633581991698,0.09588368403727622,0.09588368403727622
linear_with_constant,0.01,0.1026860745319688,0.04155055085503972,0.2791775416710565,True,0.1295524490508306,,1.6165392191555168,0.06623632756781228,0.0317031819105987,0.08226348272335865,0.2791775416710565,0.6440841363480082,0.10770474118702227,0.10182876299036481,0.09505848250495175,0.09505848250495175
linear_with_constant,0.03,0.10296396221061442,0.04157513788686231,0.27278295823645976,True,0.12706778068808122,,1.6268083647505893,0.06656566609233144,0.03181776283525928,0.0877755595395311,0.27278295823645976,0.6506231337568992,0.10527204840502528,0.09954342183668503,0.09286268060704919,0.09286268060704919
linear_with_constant,0.05,0.1057485743288608,0.04193029141153691,0.2778371287886743,True,0.12798766015683388,,1.6667995577524495,0.06667645798039848,0.029955542567568237,0.0987720225901512,0.2778371287886743,0.6584014607614034,0.10962538188865853,0.10296424482209626,0.09496362953522688,0.09496362953522688
quadratic_full,0.0,2.9596085812982805e-16,9.899921817935769e-17,7.855338543920739e-16,True,0.005532690430994682,,3.9968028886505635e-15,1.6843845367364964e-16,3.990833388091903e-17,3.6770390990582685e-16,7.855338543920739e-16,2.2232198742534223e-15,1.453522048616785e-05,1.643315762704268e-06,1.8137596496032612e-07,1.8137596496032612e-07
quadratic_full,0.01,0.0014261590196616705,0.0007096963200955204,0.0036561888929027265,True,0.005176756297122392,,0.017782197585549792,0.0011826844667062208,0.0007615846756440872,0.0018397878239838391,0.0036561888929027265,0.00993168904783702,0.0019156514556760774,0.0016552676402217421,0.0014454199432452901,0.0014454199432452901
quadratic_full,0.03,0.010334010832010087,0.004325594269458125,0.032504227192081125,True,0.01712423466351804,,0.12967847887921088,0.006483786705991085,0.002153957463966073,0.016148846238142,0.032504227192081125,0.06591744833829967,0.015065991620315623,0.013372258312722268,0.012016795745497319,0.012016795745497319
quadratic_full,0.05,0.025768020273062277,0.009808373368075782,0.06831513684987327,True,0.034204567210684,,0.40538742363508207,0.014910940873545653,0.005460058936869253,0.02588963590265543,0.06831513684987327,0.1626907168344085,0.03096968802235159,0.027235531807980183,0.023991676426770907,0.023991676426770907
reduced_quadratic_no_cross,0.0,0.05370790624161953,0.011483092455255813,0.09423878212192119,True,0.0477281642102534,,0.881138385339528,0.022966184910511448,0.0060546468622081585,0.027361047234050945,0.09423878212192119,0.4317609542040629,0.042544817142866086,0.03856268054999517,0.03555350390396547,0.03555350390396547
reduced_quadratic_no_cross,0.01,0.05371826265008345,0.011743490715939294,0.0914478961121513,True,0.04672620094731945,,0.8850769842978298,0.022975591987814948,0.005941272213179823,0.02875154205764956,0.0914478961121513,0.4306322637006864,0.04153719260138979,0.0376050478687029,0.03463638230711539,0.03463638230711539
reduced_quadratic_no_cross,0.03,0.054687553014418896,0.013625720709606397,0.09499547502163407,True,0.04903490008129106,,0.9552573010565848,0.02391583439694422,0.005988930921108388,0.03306329944023856,0.09499547502163407,0.4311987983170229,0.04343485532871846,0.03911631914651996,0.03581248315183346,0.03581248315183346
reduced_quadratic_no_cross,0.05,0.06092032690478808,0.019202246863177654,0.13380010940131717,True,0.06816801717181109,,1.0018994178831278,0.030987711560508405,0.008393316227628275,0.048317053024558125,0.13380010940131717,0.4605699838486476,0.06067147795177473,0.054731392169940815,0.05006665891621711,0.05006665891621711
reduced_cross_only,0.0,0.07538399242594282,0.0255133934938501,0.17831281465445004,True,0.08505538325341545,,1.1910198304742958,0.05102678698770008,0.02930875882752445,0.06433737023383133,0.17831281465445004,0.5487537766397678,0.06968519641564005,0.06245302589900363,0.05766806303909695,0.05766806303909695
reduced_cross_only,0.01,0.07538954007498345,0.025932959789629048,0.17602647232867943,True,0.08405299059949294,,1.193772962374862,0.05113580065193535,0.02952411558662734,0.06337965153911557,0.17602647232867943,0.5499039875252948,0.0688711018761126,0.0616148556403227,0.05678134425645197,0.05678134425645197
reduced_cross_only,0.03,0.07620629580823021,0.02583516986079029,0.1614876346719873,True,0.07728781260131963,,1.2418521209166244,0.04769261377543043,0.024356817962320802,0.07166361914027947,0.1614876346719873,0.5698892335442998,0.06268376861955952,0.05652668819689268,0.05267507735656009,0.05267507735656009
reduced_cross_only,0.05,0.0786746846755129,0.02733517017397961,0.14149154471864184,True,0.07015107897482434,,1.2881520299635865,0.04759136652481379,0.022303654069036408,0.07698325358743519,0.14149154471864184,0.5944218895782978,0.05584614780914309,0.05031957943677346,0.04697731471684976,0.04697731471684976
