Example,ε,mean(||r||),max(||r||),Hurwitz
linear_damped,2.0014830212433605e-16,5.016795381134203e-17,1.3506446028928519e-15,True
quadratic_oscillator,8.671119018262734e-16,3.710226981903644e-16,1.88411095042053e-15,True
van_der_pol,2.5073315983788884,1.114945160346908,3.062630984735275,False
cross_coupled,4.965068306494546e-16,1.6090893963953958e-16,1.7342238036525468e-15,True
saturated,0.026196379759327253,0.0058390807986783,0.13067332891238004,True
