dictionary_name,noise_sigma,rmse,mae,epsilon_q95,open_loop_stable,open_loop_ultimate_radius,notes,max_residual_norm,mean_residual_norm,median_residual_norm,q90_residual_norm,q95_residual_norm,q99_residual_norm,mild_ultimate_radius,medium_ultimate_radius,aggressive_ultimate_radius,best_closed_loop_radius
linear,0.0,0.10488768465521432,0.030747294015391294,0.3009098205907453,True,0.15425902392844593,,1.6662963281237544,0.04605737039304049,0.0018061377125950238,0.09587599947830414,0.3009098205907453,0.6715896185358086,0.1380688179647116,0.12501875664561438,0.11306858083373258,0.11306858083373258
linear,0.01,0.10489520603044365,0.030735794173600516,0.3003413952171085,True,0.1540339901393165,,1.6679859477086978,0.04602721904047235,0.001801681457847938,0.09517302665923492,0.3003413952171085,0.6626840965798357,0.13785608503098293,0.1247877747787755,0.11280262155132753,0.11280262155132753
linear,0.03,0.10533382374882905,0.030927029908337764,0.2934077870159672,True,0.15221710793635812,,1.6987622336611257,0.046272419524682654,0.001867551941234732,0.09950301105381998,0.2934077870159672,0.6582398467413801,0.1354549225218337,0.12252051409773575,0.11050897656117827,0.11050897656117827
linear,0.05,0.10787518426416395,0.03163482889576253,0.29023604864343827,True,0.15215657232801422,,1.727435291996975,0.04760106730195497,0.0019015581087660311,0.10934911536840483,0.29023604864343827,0.7012649192566522,0.13520814392627054,0.1220491400493165,0.1095176588986513,0.1095176588986513
linear_with_constant,0.0,0.10267453236096724,0.04123342311407225,0.28111587930999976,True,0.12919652598853595,,1.6109157893903083,0.06563695503388095,0.030905732557227214,0.08330583234879801,0.28111587930999976,0.6487852435835763,0.10890689502507377,0.10279633581991672,0.09588368403727611,0.09588368403727611
linear_with_constant,0.01,0.10268607453196882,0.04155055085503974,0.27917754167105574,True,0.12955244905083113,,1.6165392191555157,0.0662363275678123,0.03170318191059871,0.08226348272335848,0.27917754167105574,0.6440841363480098,0.10770474118702644,0.10182876299036449,0.09505848250495134,0.09505848250495134
linear_with_constant,0.03,0.10296396221061443,0.041575137886862276,0.27278295823645843,True,0.12706778068807978,,1.6268083647505913,0.06656566609233136,0.031817762835259125,0.08777555953953155,0.27278295823645843,0.6506231337569004,0.10527204840502111,0.0995434218366846,0.09286268060704875,0.09286268060704875
linear_with_constant,0.05,0.10574857432886085,0.041930291411536896,0.27783712878867406,True,0.1279876601568329,,1.6667995577524497,0.06667645798039848,0.029955542567568202,0.09877202259015165,0.27783712878867406,0.6584014607614033,0.1096253818886621,0.10296424482209633,0.09496362953522677,0.09496362953522677
quadratic_full,0.0,1.4941249352691698e-16,6.207713278974336e-17,4.965068306494546e-16,True,0.005532690430994722,,1.790180836524724e-15,9.835010495551362e-17,3.203636769460543e-17,2.329220903327646e-16,4.965068306494546e-16,9.930136612989092e-16,1.4535220486207993e-05,1.643315762679488e-06,1.8137596491935272e-07,1.8137596491935272e-07
quadratic_full,0.01,0.0014261590196618474,0.0007096963200955705,0.0036561888929013465,True,0.00517675629712252,,0.01778219758555252,0.0011826844667063691,0.000761584675644207,0.0018397878239845215,0.0036561888929013465,0.009931689047839368,0.0019156514556754808,0.0016552676402211337,0.0014454199432447274,0.0014454199432447274
quadratic_full,0.03,0.010334010832009985,0.004325594269458092,0.03250422719208147,True,0.017124234663518388,,0.1296784788792104,0.0064837867059910365,0.0021539574639660415,0.016148846238141824,0.03250422719208147,0.06591744833829898,0.015065991620315815,0.013372258312722447,0.012016795745497433,0.012016795745497433
quadratic_full,0.05,0.025768020273062398,0.009808373368075803,0.06831513684987445,True,0.03420456721068465,,0.40538742363508273,0.014910940873545737,0.005460058936869209,0.02588963590265576,0.06831513684987445,0.1626907168344098,0.03096968802235161,0.027235531807980846,0.02399167642677142,0.02399167642677142
reduced_quadratic_no_cross,0.0,0.053707906241619544,0.011483092455255748,0.09423878212192134,True,0.04772816421025239,,0.8811383853395292,0.022966184910511455,0.006054646862208175,0.02736104723405104,0.09423878212192134,0.43176095420406274,0.04254481714286618,0.03856268054999524,0.03555350390396552,0.03555350390396552
reduced_quadratic_no_cross,0.01,0.053718262650083455,0.011743490715939331,0.09144789611214994,True,0.04672620094731829,,0.8850769842978302,0.02297559198781491,0.005941272213179763,0.02875154205764965,0.09144789611214994,0.4306322637006847,0.04153719260138942,0.03760504786870238,0.034636382307114875,0.034636382307114875
reduced_quadratic_no_cross,0.03,0.05468755301441889,0.01362572070960638,0.09499547502163469,True,0.04903490008129121,,0.9552573010565851,0.023915834396944228,0.005988930921108448,0.03306329944023899,0.09499547502163469,0.4311987983170235,0.04343485532871888,0.03911631914652023,0.03581248315183369,0.03581248315183369
reduced_quadratic_no_cross,0.05,0.060920326904787894,0.019202246863177567,0.13380010940131518,True,0.0681680171718069,,1.001899417883127,0.030987711560508217,0.008393316227628208,0.048317053024557695,0.13380010940131518,0.4605699838486452,0.060671477951773724,0.054731392169939934,0.05006665891621634,0.05006665891621634
reduced_cross_only,0.0,0.07538399242594283,0.0255133934938501,0.1783128146544501,True,0.08505538325341484,,1.1910198304742927,0.05102678698770013,0.029308758827524498,0.0643373702338307,0.1783128146544501,0.5487537766397717,0.06968519641564035,0.062453025899003624,0.057668063039097,0.057668063039097
reduced_cross_only,0.01,0.07538954007498345,0.025932959789629093,0.17602647232867924,True,0.08405299059949269,,1.1937729623748599,0.05113580065193545,0.02952411558662746,0.06337965153911536,0.17602647232867924,0.5499039875252973,0.06887110187611258,0.06161485564032268,0.056781344256452086,0.056781344256452086
reduced_cross_only,0.03,0.07620629580823021,0.025835169860790264,0.16148763467198712,True,0.07728781260131994,,1.2418521209166231,0.047692613775430354,0.024356817962320677,0.07166361914027944,0.16148763467198712,0.5698892335443007,0.06268376861955946,0.05652668819689262,0.05267507735656002,0.05267507735656002
reduced_cross_only,0.05,0.07867468467551283,0.027335170173979604,0.1414915447186415,True,0.07015107897482434,,1.288152029963584,0.0475913665248139,0.022303654069036602,0.07698325358743499,0.1414915447186415,0.5944218895782974,0.055846147809142974,0.0503195794367734,0.046977314716849634,0.046977314716849634
